,open,close,high,low,total_turnover,volume
2009-12-10 11:27:00,4.2335,4.2281,4.2335,4.2281,843267.0,156715.0
2009-12-10 11:28:00,4.2335,4.2281,4.2335,4.2226,1872013.0,348336.0
2009-12-10 11:29:00,4.2281,4.2281,4.2335,4.2226,2552094.0,474336.0
2009-12-10 11:30:00,4.2281,4.2281,4.2335,4.2171,6265425.0,1166832.0
2009-12-10 13:01:00,4.2171,4.2171,4.2281,4.2171,8195630.0,1526815.0
2009-12-10 13:02:00,4.2226,4.2226,4.2281,4.2171,1642656.0,305997.0
2009-12-10 13:03:00,4.2281,4.2171,4.2281,4.2171,2868833.0,534240.0
2009-12-10 13:04:00,4.2226,4.2281,4.2281,4.2226,814767.0,151776.0
2009-12-10 13:05:00,4.2171,4.2226,4.2226,4.2171,1424792.0,265452.0
2009-12-10 13:06:00,4.2226,4.2226,4.2281,4.2226,2358027.0,439056.0
2009-12-10 13:07:00,4.2226,4.2281,4.2281,4.2226,4292722.0,798768.0
2009-12-10 13:08:00,4.2281,4.2335,4.2335,4.2226,1517906.0,282515.0
2009-12-10 13:09:00,4.2281,4.2281,4.2335,4.2281,1494283.0,277933.0
2009-12-10 13:10:00,4.2281,4.2281,4.2335,4.2281,1025126.0,190656.0
2009-12-10 13:11:00,4.2335,4.2281,4.2335,4.2281,1250822.0,232560.0
2009-12-10 13:12:00,4.2281,4.2335,4.2335,4.2226,5195884.0,967349.0
2009-12-10 13:13:00,4.2281,4.2281,4.2281,4.2226,2072559.0,385690.0
2009-12-10 13:14:00,4.2226,4.2226,4.2281,4.2226,1139050.0,212034.0
2009-12-10 13:15:00,4.2226,4.2335,4.2335,4.2226,730262.0,135864.0
2009-12-10 13:16:00,4.2335,4.2335,4.2335,4.2226,817774.0,152064.0
2009-12-10 13:17:00,4.2335,4.2335,4.2335,4.2281,2307447.0,428952.0
2009-12-10 13:18:00,4.2281,4.2335,4.2335,4.2281,1371197.0,254995.0
2009-12-10 13:19:00,4.2335,4.2335,4.2335,4.2281,4110901.0,764064.0
2009-12-10 13:20:00,4.2281,4.2281,4.2335,4.2281,3135969.0,583056.0
2009-12-10 13:21:00,4.2335,4.2335,4.2335,4.2281,2807087.0,521649.0
2009-12-10 13:22:00,4.239,4.239,4.239,4.2335,1255469.0,233136.0
2009-12-10 13:23:00,4.239,4.239,4.239,4.2335,1344303.0,249543.0
2009-12-10 13:24:00,4.2335,4.239,4.239,4.2335,2023340.0,375615.0
2009-12-10 13:25:00,4.239,4.239,4.2445,4.239,2698426.0,500659.0
2009-12-10 13:26:00,4.2445,4.2445,4.2445,4.239,2249238.0,417110.0
2009-12-10 13:27:00,4.239,4.2445,4.2445,4.239,1500019.0,278064.0
2009-12-10 13:28:00,4.2445,4.2499,4.2499,4.2445,1519858.0,281563.0
2009-12-10 13:29:00,4.2445,4.2445,4.2499,4.239,4317238.0,800741.0
2009-12-10 13:30:00,4.2445,4.239,4.2445,4.239,1512778.0,280570.0
2009-12-10 13:31:00,4.239,4.2445,4.2445,4.239,1108989.0,205704.0
2009-12-10 13:32:00,4.239,4.239,4.2445,4.239,1257022.0,233136.0
2009-12-10 13:33:00,4.2445,4.239,4.2445,4.2335,1948710.0,361742.0
2009-12-10 13:34:00,4.239,4.239,4.239,4.2335,830913.0,154224.0
2009-12-10 13:35:00,4.2335,4.2335,4.239,4.2335,1401768.0,260362.0
2009-12-10 13:36:00,4.2335,4.239,4.239,4.2335,2618103.0,486408.0
2009-12-10 13:37:00,4.2335,4.2281,4.2335,4.2281,2612944.0,485607.0
2009-12-10 13:38:00,4.2281,4.2281,4.2335,4.2281,1761574.0,327629.0
2009-12-10 13:39:00,4.2335,4.2281,4.2335,4.2281,599481.0,111521.0
2009-12-10 13:40:00,4.2335,4.2281,4.2335,4.2226,3624890.0,674454.0
2009-12-10 13:41:00,4.2281,4.2281,4.2281,4.2226,3810420.0,709632.0
2009-12-10 13:42:00,4.2281,4.2226,4.2281,4.2226,1571723.0,292743.0
2009-12-10 13:43:00,4.2226,4.2226,4.2281,4.2226,2881471.0,536688.0
2009-12-10 13:44:00,4.2171,4.2171,4.2281,4.2171,2827287.0,526967.0
2009-12-10 13:45:00,4.2171,4.2171,4.2226,4.2171,3760946.0,701081.0
